id,name,code,account_type,chart_template_id/id,reconcile
a8260,Samaksātās soda naudas un līgumsodi,8260,expense,l10n_lv.account_chart_template_latvia,False
a8270,Zaudējumi no ārzemju valūtu pirkšanas vai pārdošanas,8270,expense,l10n_lv.account_chart_template_latvia,False
a8290,Citi izdevumi,8290,expense,l10n_lv.account_chart_template_latvia,False
a8299,Naudas starpības zaudējumi,8299,expense,l10n_lv.account_chart_template_latvia,False
a8310,Ārkārtas ieņēmumi,8310,income_other,l10n_lv.account_chart_template_latvia,False
a8311,Skaidras naudas līdzekļu starpības ienākumi,8311,income_other,l10n_lv.account_chart_template_latvia,False
a8410,Ārkārtas izdevumi,8410,expense,l10n_lv.account_chart_template_latvia,False
a8411,Skaidras naudas līdzekļu starpības zaudējumi,8411,expense,l10n_lv.account_chart_template_latvia,False
a8610,Peļņa vai zaudējumi,8610,expense,l10n_lv.account_chart_template_latvia,False
a8810,Nodoklis no peļņas(Uzņēmumu ienākuma nodoklis),8810,expense,l10n_lv.account_chart_template_latvia,False
